ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
63,思明禾祥西路后江埭路46号嘉成花园,118.08869374113421,24.470138786112116,54760,730,133.31,3,2,2,东南,24.0,1,,高层,11.0,0,4,10,10,10
64,思明莲坂湖明路146-156号碧湖豪庭,118.11159598338442,24.4871370632265,62911,249,39.58,1,1,1,南,20.0,1,,高层,11.0,4,7,10,10,10
65,"集美集美新城诚毅北路218-232,263,265,276,284,290-306,307-315号中交和美新城(公寓住宅)",118.04421297807386,24.60725394926055,41134,405,98.46,3,2,2,南,8.0,1,满二年,高层,32.0,0,0,3,10,10
66,思明松柏嘉禾路339号四川大厦,118.12136711162515,24.498872305836738,43868,372,84.8,2,2,1,东西,21.0,1,,中层,28.0,1,3,10,10,10
67,集美杏前路锦英南二里55-66号凤凰花城(二期),118.01571656866591,24.589331046096294,18643,220,118.01,4,2,2,南,8.0,0,满二年,高层,33.0,0,2,0,5,10
68,"思明东浦路东坪三里107-111,115号东坪花园(二期)",118.11861994951542,24.469959664154032,49339,966,195.79,5,2,3,南北,6.0,1,满五年,高层,18.0,3,3,10,10,10
69,同安城南双吉路102-164号同安大唐世家六期,118.13526328871556,24.715435298139273,16807,78,46.41,3,1,1,南,18.0,0,满五年,中层,7.0,1,1,6,8,10
70,思明长青路嘉禾路281-285号台亚大厦,118.11969551932117,24.48895828857077,37978,338,89,2,2,1,北,23.0,1,满五年,高层,19.0,5,5,10,10,10
71,"湖里金尚金国里7-63号,金泰里4-106,金安里1-63号,金民里2-22号金尚小区",118.14563501337143,24.495814956737625,42362,358,84.51,3,2,1,南北,26.0,1,满五年,中层,7.0,2,0,10,10,10
72,思明禾祥东路后埭溪路111-145号银龙广场,118.10168834252903,24.470907106434968,51162,718,140.34,3,2,2,南北,24.0,1,满五年,高层,19.0,2,3,10,10,10
73,思明禾祥东路禾祥东路20号龙祥花园,118.1031168245031,24.472339390124628,63992,598,93.45,3,2,2,南北,24.0,1,满五年,低层,6.0,2,3,10,10,10
74,思明松柏长青路451-480号江头(长青)K小区,118.11655685611386,24.49158288254111,45195,348,77,3,1,1,南北,31.0,1,满五年,低层,6.0,3,6,10,10,10
75,湖里象屿保税区昌鸿路3-29号鸿图苑,118.09454473338276,24.519438183541848,29031,242,83.36,2,2,1,南,27.0,1,,高层,8.0,0,0,0,8,10
76,思明松柏仙阁里1-162号仙阁里花园,118.11132205184032,24.49962430552899,40901,358,87.53,2,1,1,南北,28.0,1,,高层,7.0,1,0,10,10,10
77,"翔安隧道口欧厝西里30-33,57-68号世茂御海墅(公寓住宅)",118.23765523477104,24.54667672861552,18224,213,116.88,4,2,2,南北,6.0,0,满五年,低层,40.0,0,1,1,6,10
78,思明火车站东浦路26号梧村街道办宿舍,118.1206858638306,24.473409765568448,35704,368,103.07,3,2,1,南北,20.0,1,满二年,中层,7.0,3,3,10,10,10
